smiles;fitness;QED;SAS
N(c1ccc(OCC)cc1)c1c(OC)cc(C(=O)Nc2c(F)cc(F)cc2)cc1;0.5869347933121661;0.5619192284075312;1.8792512254611893
BCOC1=CC=C(NC(=O)C2=NP(C)C=C2S)P=C1;0.6474099929193108;0.6742174947603989;5.938575236504834
N(c1ccc(OCC)cCc1)C(=O)c1c(Br)cn(C)n1;0.8947334213889615;0.9183664098925727;3.179634751435393
N(c1ccc(OCC)cc1)C(=O)c1c(Br)c(C)n1;0.912183946110853;0.9288795713521398;2.3807668106073
N(c1ccc(OCC)cc1)C(O)c1c(Br)cn(C)n1;0.8166346272661048;0.8296606572582882;3.0059964266354573
N(c1ccc(OC)cc1)C(=O)c1c(Br)cn(C)n1;0.9332359602788365;0.9471724212823781;1.9219218875303756
CPOC1=CC=C(BC(=O)P2NC(C)CC2Br)C=C1;0.4843045387530094;0.49873583657970166;6.455771416872213
CNSC1=CC=C(NC(=O)C2=NN(Br)C=C2C)C=C1;0.8114452499284535;0.8399579074690992;4.451686679373575
NN(c1ccc(OCC)cc1)C(=O)c1c(Br)cn(C)n1;0.5481651189703552;0.5259822750596003;2.521892858328501
N(c1ccc(OCC)cc1)C(=O)c1c(B)cn(C)n1;0.7986522494381226;0.8028578891852127;2.391985082856884
N(c1ccc(OCC)Pcc1)C(=O)c1c(Br)cn(C)n1;0.8169220845779332;0.8445210667269201;4.314687547629477
CCOC1=PC=C(NC(=O)C2CC(C)CC2Br)C=C1;0.7911880758512263;0.8217950391866595;4.842745941676732
N(c1ccc(OC)cc1)C(=O)c1c(Br)cn(C)n1;0.9332359602788365;0.9471724212823781;1.9219218875303756
N(c1ccc(OC)cc1)C(=O)c1c(Br)cn(C)n1;0.9332359602788365;0.9471724212823781;1.9219218875303756
N(c1ccc(OCC)cc1)C(=O)c1c(Br)cn(CBr)n1;0.7757644800124069;0.7762588895596488;2.2868520591277015
N(c1ccc(OC)cc1)C(=O)c1c(Br)cn(C)n1;0.9332359602788365;0.9471724212823781;1.9219218875303756
N(c1ccc(OCC)cc1)C(=O)c1c(B)cn(C)n1;0.7986522494381226;0.8028578891852127;2.391985082856884
N(c1ccc(OCC)cc1)CC(=O)c1c(Br)cn(C)n1;0.8178272366245439;0.8232084451360159;2.3060363997870414
N(c1ccc(OCC)cc1)C(=O)c1c(B)cn(C)n1;0.7986522494381226;0.8028578891852127;2.391985082856884
N(c1ccSc(OCC)cc1)C(=O)c1c(Br)cn(C)n1;0.8755872817862668;0.9014100368297495;3.568175136050778
N(c1ccc(OCC)cc1)C(=O)c1c(B)cn(C)n1;0.7986522494381226;0.8028578891852127;2.391985082856884
NC(c1ccc(OCC)cc1)C(=O)c1c(Br)cn(C)n1;0.836650758794413;0.8505378608113868;2.883331593583522
N(c1ccc(CC)cc1)C(=O)c1c(Br)cn(C)n1;0.9327347206635423;0.9472804729918803;1.9817705029149923
CCOC1=CN=C(NC(=S)C2=NN(C)C=C2Br)C=C1;0.8374839048173668;0.8670082948557485;4.282356055280686
N(c1ccc(OCC)ccN1)C(=O)c1c(Br)cn(C)n1;0.8559585967667374;0.877727474720138;3.39961304813869
C=C(NC1=CP=C(OCC)C=C1)C1=NP(N)C=C1Br;0.7824577140408892;0.8198893280981954;5.544268124748665
CN1C=C(C(=O)NC2=CC=C(OCN)C=C2)C(O)=N1;0.6919867302969714;0.7028015165223306;4.053463457312615
CSOC1=PC=C(NC(=N)C2=NN(C)P=C2Br)C=C1;0.4687298393602962;0.47003110553157235;5.429815561811891
N(c1ccc(OC)cc1)C(=O)c1c(Br)cn(C)n1;0.9332359602788365;0.9471724212823781;1.9219218875303756
N(c1cccN(OCC)cc1)C(=O)c1c(Br)cn(C)n1;0.8854772146420261;0.9126691258392012;3.5924998613255044
N(c1ccc(OCC)cc1)C(=O)c1c(Br)c(C)n1;0.912183946110853;0.9288795713521398;2.3807668106073
CSOC1=CC=C(NC(=P)C2=NN(C)C=C2P)C=N1;0.6487943126997036;0.6726856423635124;5.662276542745762
